class,train_count,val_count
acantharia,1321,2014
amphipoda,2346,5780
anfioxo,3500,29986
appendicularia_cc,3500,120490
appendicularia_sc,3500,409843
bryozoa,3500,29320
bryozoa_larva,3114,4978
chaeto_curved,3500,11098
chaeto_eating_egging,822,1209
chaeto_ret,3500,56956
cnidaria,3500,90515
cnidaria_hat,3500,93311
cop_ca,3500,1208200
copepoda_sa,3500,49638
coscinodiscus_,3500,88228
coscinodiscus_only,3500,79214
coscinodiscus_org,3500,30449
crustacea_ovo,1646,2494
det,3500,3838814
doliolidae,3500,57554
equinoderma,2582,5506
fitoplancton,3285,1716
nauplii,3500,43005
noctiluca,3500,117329
peixe_larva,3358,5784
peixe_ovo,3500,6291
penilia,3500,183869
poliqueta_juvenil,3500,15701
poliqueta_larva,3500,10150
pseudevadne,3500,10969
pteropoda,3500,22755
radiolaria,2274,5870
radiozoa,3500,20054
siphonophora,3500,12053
sombra,3500,835784
zoea,3500,5827
zoo_mix1,2663,8642
zoo_mix2,2554,4874
